Competitive Bid Service Area,Company Name,DBA Name,Address,Address 2,City,State,Zip,Zip Plus 4,Phone,Oxygen Supplies and Equipment,Mail-Order Diabetic Supplies,"Enteral Nutrients, Equipment and Supplies","CPAP Devices, Respiratory Assist Devices, and Related Supplies and Accessories",Hospital Beds and Related Accessories,Negative Pressure Wound Therapy Pumps and Related Supplies and Accessories,Walkers and Related Accessories,Support Surfaces (Group 2 mattresses and overlays),"Standard (Power & Manual) Wheelchairs, Scooters, and Related Accessories",External Infusion Pumps and Supplies,General Home Equipment and Related Supplies and Accessories,Respiratory Equipment and  Related Supplies and Accessories,Standard Mobility Equipment and Related Accessories,Is Supplier Participating?,Automatic External Defibrillators (AEDS),"Commodes, Urinals, & Bedpans",Continuous Passive Motion (CPM) Devices,Dynamic Splints,Blood Glucose Monitors & Supplies: Non-Mail Order,Blood Glucose Monitors & Supplies: Mail Order,Blood Glucose Monitors: Mail Order,Gastric Suction Pumps,Heat & Cold Applications,Hospital Beds: Electric,Hospital Beds: Total Electric & Pediatric,Hospital Beds: Manual,Hospital Beds: Manual & Pediatric,Infrared Heating Pad Systems,Infusion Pumps & Supplies: External Infusion,Infusion Pumps: Implantable & Uninterrupted,Infusion Pumps & Supplies: Insulin Infusion,Infusion Pumps & Supplies: Implanted Infusion,Negative Pressure Wound Therapy Pumps & Supplies,Neuromuscular Electrical Stimulators (NMES),Osteogenesis Stimulators,Pneumatic Compression Devices,Speech Generating Devices,"Support Surfaces: Pressure Reducing Beds, Mattresses, Overlays, & Pads",Support Surfaces (e.g. Air Fluidized bed),Traction Equipment,Transcutaneous Electrical Nerve Stimulators (TENS) Units,Ultraviolet Light Devices,Home Dialysis Equipment & Supplies,Hemodialysis Equipment & Supplies,Canes & Crutches,Patient Lifts,Power Operated Vehicles (Scooters),Seat Lift Mechanisms,Walkers,Wheelchairs & Accessories: Standard Manual,Wheelchairs & Accessories: Standard Manual (e.g. Pediatrics),Wheelchairs & Accessories: Standard Power,Wheelchairs & Accessories: Standard Power (e.g. Pediatrics and custom cushions ),Wheelchairs & Accessories: Complex Rehabilitative Manual,Wheelchairs & Accessories: Complex Rehabilitative Power,"Wheelchairs & Accessories: Complex Rehabilitative Power (e.g. Group 3, Group 4, Group 5)",Wheelchair Seating/Cushions,Wheelchair Seating/Cushions (e.g. skin protecting seat cushions),Orthoses: Custom Fabricated,Orthoses: Prefabricated,Orthoses: Off-the-Shelf,Breast Prostheses & Accessories,Cochlear Implants,Facial Prostheses,Neurostimulators,Ocular Prostheses,Ostomy Supplies,Somatic Prostheses,Tracheostomy Supplies,Urological Supplies,Voice Prosthetics,Prosthetic Lenses: Conventional Eyeglasses,Prosthetic Lenses: Conventional Contact Lenses,Prosthetic Lenses: Prosthetic Cataract Lenses,"Enteral Nutrients, Equipment, & Supplies",Enteral Nutrients & Supplies for Special Metabolic Needs and Pediatrics,"Parenteral Nutrients, Equipment & Supplies",Limb Prostheses,Eye Prostheses,"CPAP, RADs, & Related Supplies & Accessories",CPAP and RADs Supplies (e.g. combination masks),High Frequency Chest Wall Oscillation (HFCWO) Devices,Invasive Mechanical Ventilation,Intermittent Positive Pressure Breathing (IPPB) Devices,Intrapulmonary Percussive Ventilation Devices,Mechanical In-Exsufflation Devices,Nebulizer Equipment & Supplies,Nebulizer Equipment: Ultrasonic and Controlled Dose,Oxygen Equipment & Supplies,Respiratory Suction Pumps,"Ventilators, Accessories & Supplies",Surgical Dressings,Diabetic Shoes & Inserts: Prefabricated,Diabetic Shoes & Inserts: Custom Fabricated
,CARR-GOTTSTEIN FOODS COMPANY                                          ,CARRS PHARMACY #1812                    ,4000 W DIMOND BLVD                                     ,                                                       ,ANCHORAGE                     ,AK,99515,    ,(907)339-1260,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,CARR-GOTTSTEIN FOODS COMPANY                                          ,CARRS PHARMACY #1813                    ,1501 E HUFFMAN RD                                      ,                                                       ,ANCHORAGE                     ,AK,99515,    ,(907)339-1360,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,CARR-GOTTSTEIN FOODS COMPANY                                          ,CARRS PHARMACY #1817                    ,7731 E NORTHERN LIGHTS BLVD                            ,                                                       ,ANCHORAGE                     ,AK,99504,    ,(907)339-1760,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,CARR-GOTTSTEIN FOODS COMPANY                                          ,CARRS PHARMACY #2628                    ,1725 ABBOTT RD                                         ,                                                       ,ANCHORAGE                     ,AK,99507,    ,(907)339-2860,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,CARR-GOTTSTEIN FOODS COMPANY                                          ,CARRS-GOTTSTEIN FOODS COMPANY           ,5600 DEBARR RD                                         ,SUITE 8                                                ,ANCHORAGE                     ,AK,99504,    ,(800)730-2627,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
,COOK INLET EYECARE INC                                                ,COOK INLET EYEWEAR INC                  ,534 W 2ND AVE                                          ,                                                       ,ANCHORAGE                     ,AK,99501,    ,(907)276-1021,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,FRED MEYER STORES INC                                                 ,FRED MEYER PHARAMCY #11                 ,1000E NORTHERN LIGHTS BLVD                             ,                                                       ,ANCHORAGE                     ,AK,99508,    ,(907)264-9633,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
,FRED MEYER STORES INC                                                 ,FRED MEYER PHARMACY #018                ,7701 DEBARR RD                                         ,                                                       ,ANCHORAGE                     ,AK,99504,    ,(907)269-1733,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
,FRED MEYER STORES INC                                                 ,FRED MEYER PHARMACY #071                ,2000 W DIMOND BLVD                                     ,                                                       ,ANCHORAGE                     ,AK,99515,    ,(907)267-6733,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
,FRED MEYER STORES INC                                                 ,FRED MEYER PHARMACY #656                ,2300 ABBOTT RD                                         ,                                                       ,ANCHORAGE                     ,AK,99507,    ,(907)365-2033,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
,"FRONTIER GROUP, INC.                                                  ",FRONTIER MEDICAL                        ,907 E DOWLING RD                                       ,STE 26                                                 ,ANCHORAGE                     ,AK,99518,    ,(907)258-8618,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO
,"GENEVA WOODS PHARMACY, INC.                                           ",GENEVA WOODS HEALTH CARE SERVICES       ,501 W INTL AIRPORT RD                                  ,STE 1A                                                 ,ANCHORAGE                     ,AK,99518,    ,(907)565-6100,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,"GENEVA WOODS PHARMACY, INC.                                           ",GENEVA WOODS PHARMACY SERVICES          ,501 W INTERNATIONAL AIRPORT RD                         ,STE 5                                                  ,ANCHORAGE                     ,AK,99518,    ,(907)334-9400,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,"GENEVA WOODS PHARMACY, INC.                                           ",GENEVA WOODS PROFESSIONAL INFUSION      ,501 W INTERNATIONAL AIRPORT ROAD                       ,SUITE 4                                                ,ANCHORAGE                     ,AK,99518,    ,(907)297-1132,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,GREAT LAND INFUSION PHARMACY INC                                      ,GREAT LAND INFUSION PHARMACY INC        ,2421E TUDOR RD                                         ,SUITE 107                                              ,ANCHORAGE                     ,AK,99507,    ,(907)561-2421,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
,J&J MEDICAL INC.                                                      ,ALASKA MEDICAL SOLUTIONS                ,4401 BUSINESS PARK BLVD                                ,# N24                                                  ,ANCHORAGE                     ,AK,99503,    ,(907)563-4401,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FALSE,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
,"KCI USA, INC.                                                         ","KCI USA, INC.                           ",5610 SILVERADO WAY                                     ,STE 3                                                  ,ANCHORAGE                     ,AK,99518,    ,(907)561-5092,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,TRUE,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
