name,length,resolved_type,has_codes,count,ints,floats,strs,nones,datetimes,dates,times,strvals
traction_equipment,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
transcutaneous_electrical_nerve_stimulators_tens_units,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
ultraviolet_light_devices,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
home_dialysis_equipment_supplies,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
hemodialysis_equipment_supplies,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
canes_crutches,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"NO,YES"
patient_lifts,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"YES,NO"
power_operated_vehicles_scooters,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"YES,NO"
seat_lift_mechanisms,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"YES,NO"
walkers,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"NO,YES"
wheelchairs_accessories_standard_manual,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
wheelchairs_accessories_standard_manual_e_g_pediatrics,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
wheelchairs_accessories_standard_power,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
wheelchairs_accessories_standard_power_e_g_pediatrics_and_custom_cushions,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
wheelchairs_accessories_complex_rehabilitative_manual,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
wheelchairs_accessories_complex_rehabilitative_power,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
wheelchairs_accessories_complex_rehabilitative_power_e_g_group_3_group_4_group_5,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
wheelchair_seating_cushions,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
wheelchair_seating_cushions_e_g_skin_protecting_seat_cushions,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
orthoses_custom_fabricated,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"NO,YES"
orthoses_prefabricated,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"NO,YES"
orthoses_off_the_shelf,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"NO,YES"
breast_prostheses_accessories,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
cochlear_implants,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
facial_prostheses,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
neurostimulators,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
ocular_prostheses,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
ostomy_supplies,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"NO,YES"
somatic_prostheses,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
tracheostomy_supplies,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
urological_supplies,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"NO,YES"
voice_prosthetics,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
prosthetic_lenses_conventional_eyeglasses,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
prosthetic_lenses_conventional_contact_lenses,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
prosthetic_lenses_prosthetic_cataract_lenses,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
enteral_nutrients_equipment_supplies,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
enteral_nutrients_supplies_for_special_metabolic_needs_and_pediatrics,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
parenteral_nutrients_equipment_supplies,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
limb_prostheses,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"NO,YES"
eye_prostheses,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
cpap_rads_related_supplies_accessories,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
cpap_and_rads_supplies_e_g_combination_masks,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
high_frequency_chest_wall_oscillation_hfcwo_devices,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
invasive_mechanical_ventilation,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
intermittent_positive_pressure_breathing_ippb_devices,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
intrapulmonary_percussive_ventilation_devices,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
mechanical_in_exsufflation_devices,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
nebulizer_equipment_supplies,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"NO,YES"
nebulizer_equipment_ultrasonic_and_controlled_dose,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
oxygen_equipment_supplies,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
respiratory_suction_pumps,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
ventilators_accessories_supplies,2,<type 'str'>,False,4,0,0,4,0,0,0,0,NO
surgical_dressings,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"NO,YES"
diabetic_shoes_inserts_prefabricated,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"NO,YES"
diabetic_shoes_inserts_custom_fabricated,3,<type 'str'>,False,4,0,0,4,0,0,0,0,"NO,YES"
